Fecha,DV,VV
2026-04-30 16:50:00,312.0,5.7
2026-04-30 17:00:00,325.0,5.1
2026-04-30 17:10:00,318.0,6.2
2026-04-30 17:20:00,334.0,5.0
2026-04-30 17:30:00,324.0,4.6
2026-04-30 17:40:00,307.0,4.0
2026-04-30 17:50:00,353.0,3.8
2026-04-30 18:00:00,341.0,4.2
2026-04-30 18:10:00,323.0,3.4
2026-04-30 18:20:00,351.0,4.2
2026-04-30 18:30:00,351.0,3.9
2026-04-30 18:40:00,330.0,4.2
2026-04-30 18:50:00,10.0,4.0
2026-04-30 19:00:00,22.0,3.3
2026-04-30 19:10:00,335.0,3.7
2026-04-30 19:20:00,341.0,4.4
2026-04-30 19:30:00,337.0,4.2
2026-04-30 19:40:00,359.0,4.5
2026-04-30 19:50:00,334.0,4.2
2026-04-30 20:00:00,314.0,4.1
2026-04-30 20:10:00,314.0,3.3
2026-04-30 20:20:00,311.0,3.8
2026-04-30 20:30:00,352.0,4.1
2026-04-30 20:40:00,324.0,3.9
2026-04-30 20:50:00,345.0,4.0
2026-04-30 21:00:00,324.0,3.6
2026-04-30 21:10:00,336.0,3.8
2026-04-30 21:20:00,357.0,3.6
2026-04-30 21:30:00,356.0,4.2
2026-04-30 21:40:00,344.0,4.0
2026-04-30 21:50:00,333.0,4.4
2026-04-30 22:00:00,329.0,4.3
2026-04-30 22:10:00,316.0,4.0
2026-04-30 22:20:00,309.0,4.5
2026-04-30 22:30:00,334.0,4.5
2026-04-30 22:40:00,310.0,4.6
2026-04-30 22:50:00,341.0,4.9
2026-04-30 23:00:00,326.0,4.6
2026-04-30 23:10:00,342.0,4.0
2026-04-30 23:20:00,343.0,4.2
2026-04-30 23:30:00,331.0,4.0
2026-04-30 23:40:00,9.0,4.8
2026-04-30 23:50:00,345.0,4.1
2026-05-01 00:00:00,353.0,4.1
2026-05-01 00:10:00,337.0,4.2
2026-05-01 00:20:00,327.0,4.0
2026-05-01 00:30:00,340.0,4.5
2026-05-01 00:40:00,4.0,5.2
2026-05-01 00:50:00,355.0,4.4
2026-05-01 01:00:00,339.0,4.2
2026-05-01 01:10:00,350.0,4.7
2026-05-01 01:20:00,343.0,4.1
2026-05-01 01:30:00,337.0,4.2
2026-05-01 01:40:00,357.0,3.6
2026-05-01 01:50:00,29.0,3.9
2026-05-01 02:00:00,320.0,3.2
2026-05-01 02:10:00,349.0,4.5
2026-05-01 02:20:00,342.0,4.1
2026-05-01 02:30:00,327.0,4.0
2026-05-01 02:40:00,327.0,3.4
2026-05-01 02:50:00,2.0,4.1
2026-05-01 03:00:00,334.0,3.8
2026-05-01 03:10:00,318.0,3.9
2026-05-01 03:20:00,0.0,4.9
2026-05-01 03:30:00,343.0,4.0
2026-05-01 03:40:00,330.0,5.0
2026-05-01 03:50:00,343.0,4.1
2026-05-01 04:00:00,325.0,4.5
2026-05-01 04:10:00,337.0,4.4
2026-05-01 04:20:00,349.0,4.0
2026-05-01 04:30:00,317.0,3.8
2026-05-01 04:40:00,317.0,4.8
2026-05-01 04:50:00,327.0,4.5
2026-05-01 05:00:00,315.0,4.5
2026-05-01 05:10:00,333.0,4.5
2026-05-01 05:20:00,337.0,4.4
2026-05-01 05:30:00,339.0,4.2
2026-05-01 05:40:00,339.0,4.4
2026-05-01 05:50:00,319.0,4.0
2026-05-01 06:00:00,336.0,4.0
2026-05-01 06:10:00,352.0,4.8
2026-05-01 06:20:00,302.0,4.2
2026-05-01 06:30:00,341.0,3.9
2026-05-01 06:40:00,327.0,4.3
2026-05-01 06:50:00,305.0,4.2
2026-05-01 07:00:00,3.0,4.0
2026-05-01 07:10:00,18.0,3.2
2026-05-01 07:20:00,333.0,3.4
2026-05-01 07:30:00,316.0,4.3
2026-05-01 07:40:00,320.0,3.8
2026-05-01 07:50:00,346.0,3.8
2026-05-01 08:00:00,295.0,3.8
2026-05-01 08:10:00,346.0,3.6
2026-05-01 08:20:00,338.0,4.0
2026-05-01 08:30:00,333.0,4.7
2026-05-01 08:40:00,326.0,4.1
2026-05-01 08:50:00,315.0,4.3
2026-05-01 09:00:00,316.0,4.8
2026-05-01 09:10:00,321.0,4.8
2026-05-01 09:20:00,320.0,4.9
2026-05-01 09:30:00,311.0,5.3
2026-05-01 09:40:00,322.0,4.4
2026-05-01 09:50:00,320.0,5.0
2026-05-01 10:00:00,316.0,5.1
2026-05-01 10:10:00,323.0,3.8
2026-05-01 10:20:00,323.0,5.3
2026-05-01 10:30:00,330.0,5.3
2026-05-01 10:40:00,325.0,4.9
2026-05-01 10:50:00,308.0,5.3
2026-05-01 11:00:00,325.0,6.0
2026-05-01 11:10:00,317.0,6.1
2026-05-01 11:20:00,320.0,6.4
2026-05-01 11:30:00,315.0,7.4
2026-05-01 11:40:00,314.0,6.7
2026-05-01 11:50:00,315.0,6.8
2026-05-01 12:00:00,316.0,5.6
2026-05-01 12:10:00,312.0,5.8
2026-05-01 12:20:00,323.0,5.3
2026-05-01 12:30:00,314.0,5.8
2026-05-01 12:40:00,304.0,5.3
2026-05-01 12:50:00,319.0,5.4
2026-05-01 13:00:00,323.0,6.2
2026-05-01 13:10:00,305.0,6.0
2026-05-01 13:20:00,310.0,6.2
2026-05-01 13:30:00,316.0,5.9
